scenario_id,league_nights_per_week,events_per_month,retention_utilization_uplift,membership_active_members,membership_discount_pct,cash_after_debt,dscr,required_utilization_multiplier_for_cash_break_even
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,150,0.1,-13893.492432850273,0,1.1921615463980308
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,150,0.15,-14040.82789498283,0,1.1945958983359741
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,300,0.0,-11330.821508585146,0,1.1513525218367373
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,300,0.05,-11625.492432850273,0,1.1559022627100384
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,300,0.1,-11920.163357115414,0,1.1604881041969024
S12_BASE_PLUS_PROGRAMS2,0,0,0.05,300,0.15,-12214.834281380527,0,1.1651104776774996
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,0,0.0,-14780.74068130546,0,1.2069730027413397
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,0,0.05,-14780.74068130546,0,1.2069730027413397
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,0,0.1,-14780.74068130546,0,1.2069730027413397
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,0,0.15,-14780.74068130546,0,1.2069730027413397
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,50,0.0,-14024.74068130546,0,1.1943296137687307
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,50,0.05,-14073.862045387597,0,1.195143070512484
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,50,0.1,-14122.983409469749,0,1.1959576361006719
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,50,0.15,-14172.104773551886,0,1.196773312802083
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,150,0.0,-12512.74068130546,0,1.169821187696477
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,150,0.05,-12660.104773551886,0,1.1721655247231724
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,150,0.1,-12807.468865798297,0,1.1745192767821084
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,150,0.15,-12954.832958044708,0,1.1768825007046115
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,300,0.0,-10244.74068130546,0,1.134888213303927
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,300,0.05,-10539.468865798297,0,1.1393093747291725
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,300,0.1,-10834.197050291134,0,1.1437651177343333
